rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams
1,"spotify:track:5ZwRTJD1bTACtIuW5Iibnu","Nekfeu, Damso","Tricheur","Universal Music Division Polydor",1,1,5,"585828"
2,"spotify:track:3OmMEncU5Z8hZJVKwAMZpk","Nekfeu, Vanessa Paradis","Dans l'univers","Universal Music Division Polydor",2,3,5,"407213"
3,"spotify:track:31ljIjVJOgopnyNposqPhm","Nekfeu, Nemir","Elle pleut","Universal Music Division Polydor",3,4,5,"394603"
4,"spotify:track:3eG36tERWexe2lm75Ea3Y8","Nekfeu","Cheum","Universal Music Division Polydor",2,2,5,"389116"
5,"spotify:track:48MQ3gJuiksM6zyLPRTFKj","Nekfeu","Alunissons","Universal Music Division Polydor",4,8,5,"321107"
6,"spotify:track:1FN3Bo2tGTBxvEb5b83vFV","Nekfeu","Les étoiles vagabondes","Universal Music Division Polydor",2,6,5,"319272"
7,"spotify:track:0sSvwmaVvkcIARs3uaLmlj","Nekfeu","Voyage léger","Universal Music Division Polydor",5,7,5,"318219"
8,"spotify:track:1w2OwBeojIZI8hTI5WkMkV","PNL","MOWGLI II","QLF Records",1,5,7,"297635"
9,"spotify:track:2SlzpQnpdEetONMktRWUKS","Nekfeu","Takotsubo","Universal Music Division Polydor",5,9,5,"295780"
10,"spotify:track:5BX0UF54txMgYG73sVNeJJ","Nekfeu","Menteur menteur","Universal Music Division Polydor",8,10,5,"286692"
11,"spotify:track:6vsaj9lO1gyNjRmfIz0CTj","Nekfeu","Premier pas","Universal Music Division Polydor",11,11,5,"283271"
12,"spotify:track:7rOhUcPhUnEmOLXLtNjuZO","Nekfeu","Le bruit qui court","Universal Music Division Polydor",11,12,5,"277859"
13,"spotify:track:2613pAp7RThnv3hjAfNn8m","Nekfeu","Ciel noir","Universal Music Division Polydor",10,13,5,"267694"
14,"spotify:track:6F8Caj9u2wk5hmbFuKK6Pa","Vegedream, Ninho","Elle est bonne sa mère","Universal Music Division Island Def Jam",2,14,11,"253296"
15,"spotify:track:55mCsKCo4bPuYtZvHppp8z","Niska, Booba","Médicament","Universal Music Division Capitol Music France",1,15,67,"250871"
16,"spotify:track:6j0sTlEg74brXngEeMQ5mJ","Nekfeu, Alpha Wann","Compte les hommes","Universal Music Division Polydor",13,16,5,"248688"
17,"spotify:track:7Dk92DM38obUOQknmSDku6","Nekfeu","De mon mieux","Universal Music Division Polydor",12,17,5,"248651"
