rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams
1,"spotify:track:38Eq6RgIxOdt4twqyVAPCn","Booba","PGP","Tallac Records",1,1,5,"350118"
2,"spotify:track:6stxV2bl7xSiPUornxwyNR","Heuss L'enfoiré, Sofiane","Khapta","AllPoints",2,2,4,"252827"
3,"spotify:track:7oxSh7uiB74lWGVIv2Qtlm","Bramsito, Booba","Sale mood","Universal Music Division Capitol Music France",2,4,88,"181015"
4,"spotify:track:6l7PqWKsgm4NLomOE7Veou","Lomepal, Roméo Elvis","1000°C","Pineale Prod - Grand Musique Management",1,3,134,"179200"
5,"spotify:track:4miiqu2dxOhBguQDHtqssH","Maes, Booba","Madrina","Universal Music Division Capitol Music France",1,5,96,"177625"
6,"spotify:track:14msK75pk3pA33pzPVNtBF","Ariana Grande","7 rings","Republic Records",3,6,11,"174753"
7,"spotify:track:4MSFxqmkiMxq7e61jTqgqt","Eva, Lartiste","On Fleek","Universal Music Distribution Deal",5,8,18,"168669"
8,"spotify:track:0VR4lX58CIL6AaOnYD99UK","Heuss L'enfoiré, Koba LaD","George moula","AllPoints",8,11,8,"163954"
9,"spotify:track:0r64LBR8RlnXcdd5HTFubd","Heuss L'enfoiré","Les méchants","AllPoints",9,10,28,"163490"
10,"spotify:track:4WB9OeauHXnGOMUK4s80gM","Lomepal","Trop beau","Pineale Prod - Grand Musique Management",1,9,53,"157808"
11,"spotify:track:2S8wxDFED8PAo4ZqhyMRh2","Heuss L'enfoiré","L'enfoiré","AllPoints",11,13,53,"153462"
12,"spotify:track:06O3hxudc6V0BOuoCFSy71","Angèle, Roméo Elvis","Tout oublier","Angèle VL Records",1,7,116,"148269"
13,"spotify:track:1rTqrw4djb392jhfELKSl3","Kaaris, SCH","Cigarette","Universal Music Division Virgin Records",2,16,4,"139204"
14,"spotify:track:7gX2hqFLQKjiJwK8gZVofe","Heuss L'enfoiré, Soolking","Benda","AllPoints",14,20,4,"139188"
15,"spotify:track:5WpIIZ8PGiBL7353UNdwyZ","Kaaris","Aieaieouille","Universal Music Division Virgin Records",6,14,11,"138807"
16,"spotify:track:2VxeLyX666F8uXCJ0dZF8B","Lady Gaga, Bradley Cooper","Shallow","A Star is Born OST",9,18,117,"131429"
17,"spotify:track:25sgk305KZfyuqVBQIahim","Ava Max","Sweet but Psycho","Atlantic Records",9,12,99,"127842"
18,"spotify:track:5hYfXfLP8FL3v0zJlv2zUG","Kaaris","Débrouillard","Universal Music Division Virgin Records",15,23,46,"117628"
19,"spotify:track:3aRgAfrt6aQW8IimLq2aVG","Aya Nakamura","La dot","Rec. 118",1,15,88,"117559"
20,"spotify:track:116H0KvKr2Zl4RPuVBruDO","Bad Bunny, Drake","MIA (feat. Drake)","OVO Sound/Warner Records",7,21,109,"115042"
21,"spotify:track:7wftSd1lKjFsJy3vcKgAoA","Kaaris","Chien de la casse","Universal Music Division Virgin Records",3,24,4,"113557"
22,"spotify:track:7gNlaZaMIjRUfnAYd9Dvmt","Heuss L'enfoiré","Aristocrate","AllPoints",22,30,4,"112802"
23,"spotify:track:6geMLnj9ks5JaYNrjlOLO9","Heuss L'enfoiré","G.M.T.B","AllPoints",23,32,4,"111235"
24,"spotify:track:4w8niZpiMy6qz1mntFA5uM","DJ Snake, Selena Gomez, Ozuna, Cardi B","Taki Taki (with Selena Gomez, Ozuna & Cardi B)","DJ Snake Music Productions Limited, under exclusive license to Geffen Records",1,17,123,"109804"
25,"spotify:track:5UgUGPknu6JRgawaJAO9rX","Kaaris","Gun salute","Universal Music Division Virgin Records",8,27,4,"109696"
26,"spotify:track:0YammaEkYSeo9vQYZ1OwS6","David Guetta, Bebe Rexha, J Balvin","Say My Name","Parlophone (France)",6,22,105,"109394"
27,"spotify:track:1LdMXk49KHJolR9lWu4HU8","Heuss L'enfoiré","En esprit","AllPoints",27,34,4,"108237"
28,"spotify:track:7lhuM9WUqdThw72dCBRmQW","Orelsan, Damso","Rêves bizarres (feat. Damso)","Wagram Music / 3ème Bureau",1,26,76,"107377"
29,"spotify:track:1rqqCSm0Qe4I9rUvWncaom","Panic! At The Disco","High Hopes","DCD2 / Fueled By Ramen",12,25,80,"106544"
30,"spotify:track:0QnEGWGECQUPuE3m8L6hdT","Dadju","Jaloux","Universal Music Division Capitol Music France",1,19,117,"106217"
31,"spotify:track:6SvDwwLRUxnUeAmmZbKDup","Heuss L'enfoiré","Bx land 4","AllPoints",26,36,4,"105411"
32,"spotify:track:0EE5QfsVywpj6CycOUADk1","Heuss L'enfoiré","Hakan Sukur","AllPoints",27,35,4,"105012"
33,"spotify:track:3VlVkVmlhFAeYVCXFbmRvq","Kaaris","Golf7 r","Universal Music Division Virgin Records",10,31,4,"101499"
34,"spotify:track:1010IFNdjlJv8ZRNkyTkxX","Kaaris, Mac Tyer, Sofiane","Briganté","Universal Music Division Virgin Records",4,33,4,"100905"
35,"spotify:track:2LskIZrCeLxRvCiGP8gxlh","XXXTENTACION, Lil Pump, Swae Lee, Maluma","Arms Around You (feat. Maluma & Swae Lee)","Warner Records",15,29,95,"99314"
36,"spotify:track:4zrEmFA3R3JngfWR70zu3w","Ninho","Binks to Binks 6","Rec. 118 / Mal Luné Music",1,39,28,"99098"
37,"spotify:track:1ghiKwcxcqwfSapcrHv5Bs","Heuss L'enfoiré, Vald","L'addition","AllPoints",37,40,98,"96483"
38,"spotify:track:3uTNli5uz5rNOqD6qZFi8L","Maes","Billets verts","Universal Music Division Capitol Music France",5,38,186,"94564"
39,"spotify:track:3JgDeryfh6Z9P0b8plZTwF","Diplo, Niska","Boom Bye Bye","Mad Decent",39,45,4,"92328"
