rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams
1,"spotify:track:34FbkFgAbv4ffvhL2XQMVm","Aya Nakamura","Jolie nana","Rec. 118",1,1,17,"505098"
2,"spotify:track:1fyVvRQsa095P7QK5Um7xH","Dadju, Ninho","Grand bain","Universal Music Division Capitol Music France",1,2,44,"396806"
3,"spotify:track:0KBwGCY9RYD9t2zjeW4h48","Bosh","Djomb - Bien ou quoi","Arista France",1,3,106,"341743"
4,"spotify:track:6ab3CQvDlAVttThZucwGQ1","Hatik","Angela","Universal Music Distribution Deal",1,4,137,"331092"
5,"spotify:track:7ytR5pFWmSjzHJIeQkgog4","DaBaby, Roddy Ricch","ROCKSTAR (feat. Roddy Ricch)","South Coast Music Group/Interscope Records",4,6,107,"261434"
6,"spotify:track:1xQ6trAsedVPCdbtDAmk0c","Jawsh 685, Jason Derulo","Savage Love (Laxed - Siren Beat)","Columbia",6,7,44,"253011"
7,"spotify:track:65Uc29xtvhUIk6KUASvQ7Z","Kaaris","NRV","Universal Music Division Virgin Records Distribution Deal",5,5,3,"216925"
8,"spotify:track:62Pp6exz0ywSlBqvNqiY6Z","Wejdene","Anissa","Universal Music Division Virgin Records",3,10,80,"211826"
9,"spotify:track:24IgCW19L8lXKyFZwzFtD3","Black Eyed Peas, Ozuna, J. Rey Soul","MAMACITA","Universal Music Division Polydor",6,11,108,"207529"
10,"spotify:track:7zpsb1ia9WpUvzNkMPxOGM","Rim'K","Warning","Universal Music Division Virgin Records Distribution Deal",7,8,9,"197183"
11,"spotify:track:7IJIj326qJJA6oi6EpFCBD","Franglish, Tory Lanez","My Salsa","Universal Music Division Capitol Music France",10,12,51,"192720"
12,"spotify:track:70yiVJoOUU6cNbdsgL6ADT","Gambi","MACINTOSH","Rec. 118",4,13,45,"185060"
13,"spotify:track:5DH03Qs3SSG12TNUCSAzMi","Mac Tyer, Ninho","Moto","Untouchable",9,14,16,"182624"
14,"spotify:track:2u6Jm2klS4yvAlbSHlxUwI","Robin Schulz, Wes","Alane","WM Germany",14,17,24,"174375"
15,"spotify:track:2MhRqUv3z8IgtWDNxVJGUK","Zola","Wow","AWA",5,16,17,"171526"
16,"spotify:track:24Yi9hE78yPEbZ4kxyoXAI","SAINt JHN, Imanbek","Roses - Imanbek Remix","Columbia/B1 Recordings",2,18,255,"168422"
17,"spotify:track:3H7ihDc1dqLriiWXwsc2po","Topic, A7S","Breaking Me","Virgin",12,19,122,"168287"
18,"spotify:track:0BD9boQC7jUTWkAoib4Z0d","Soolking, Dadju","Meleğim","Universal Music Division Capitol Music France",2,21,177,"166958"
19,"spotify:track:6i7zAdNhzUN2k1HcrBxPHG","Ofenbach, Quarterhead, Norma Jean Martine","Head Shoulders Knees & Toes (feat. Norma Jean Martine)","Elektra France",18,23,58,"164856"
20,"spotify:track:525GY0mXYnxajolwgS8Eaz","Lucky Luke","Cooler Than Me","Columbia/B1 Recordings",20,22,31,"164789"
21,"spotify:track:07pzk5h8p2qRowPZb3YBKC","Bolémvn, Maes","10K","Universal Music Division Capitol Music France",6,20,65,"160424"
22,"spotify:track:0VjIjW4GlUZAMYd2vXMi3b","The Weeknd","Blinding Lights","Republic Records",1,26,247,"158764"
23,"spotify:track:0qARyMVNjA6q1uxxO3nofB","UZI","À la fête","SportBack Records",23,24,32,"155258"
24,"spotify:track:4fW3EMRzAfj8aNMsF3zMwt","Booba, Zed","JAUNÉ","Tallac Records",1,25,83,"154316"
25,"spotify:track:7k4t7uLgtOxPwTpFmtJNTY","KAROL G, Nicki Minaj","Tusa","TUSA - Karol G & Nicki Minaj",6,29,213,"153607"
26,"spotify:track:0rc8LVaR8KQ7WaHoSBQwcm","Leto, Niska","Nouveaux riches (feat. Niska)","Rec. 118",9,9,2,"152208"
27,"spotify:track:3lTL4LdFKVF51lseI2nk5D","Naps, Ninho","6.3","Ok Many Industrie / 13Eme Art Music",1,28,164,"149393"
28,"spotify:track:1UvYiDcJVolpUAQWpwrxNw","Kaaris","Goulag","Universal Music Division Virgin Records Distribution Deal",4,27,31,"148682"
29,"spotify:track:11Mq1tJwmFOig3BXxjqcQr","Jul","Italia","D'Or et de Platine",2,31,45,"146918"
30,"spotify:track:2R7gA9dAHTjASKU0wiTJok","Master KG, Nomcebo Zikode","Jerusalema (feat. Nomcebo Zikode) - Edit","Elektra France",30,36,15,"145379"
31,"spotify:track:61z4hhhxzFdIMH5vrNV4l3","PLK","Bénef","Panenka Music",15,15,2,"144623"
32,"spotify:track:5HEtuK03ygUzqca6yfgOYZ","Ninho","Lettre à une femme","Rec. 118 / Mal Luné Music",1,30,148,"143831"
33,"spotify:track:6UelLqGlWMcVH1E5c4H7lY","Harry Styles","Watermelon Sugar","Columbia",31,35,57,"140389"
34,"spotify:track:2g63GxCZUmhsr4XoKR93F6","Hatik, Jok'air","La meilleure","Universal Music Distribution Deal",27,34,125,"132747"
35,"spotify:track:0oHUBAmUVHjbMDNx0vNPi4","Booba","Dolce Vita","Tallac Records",4,33,20,"131054"
36,"spotify:track:4Nfak8iMF4kQfQ6Pa8Z79m","Maes, Jul","Dybala","Universal Music Division Capitol Music France",4,39,198,"129387"
37,"spotify:track:5GyyPRvEwdI4wJSUbzxHQv","Maes, Booba","Blanche","Universal Music Division Capitol Music France",1,40,199,"127152"
38,"spotify:track:6JAezQjLfd5CopZ5klhzHu","Bramsito, Niska","Criminel","Universal Music Division Capitol Music France",12,38,72,"127031"
39,"spotify:track:62aP9fBQKYKxi7PDXwcUAS","Surf Mesa, Emilee","ily (i love you baby) (feat. Emilee)","Astralwerks",5,45,143,"126932"
40,"spotify:track:3n0ogc9hNaJRRJ4QglaVSp","PLK","C'est mort","Panenka Music",7,37,23,"126510"
41,"spotify:track:0RUavidTwACAYUoNhAxNNp","Tayc","N'y pense plus","Play Two",25,41,44,"125320"
42,"spotify:track:2alc8VZAzDgdAsL2QMk3hu","DripReport","Skechers","Arista Records",6,44,134,"124605"
43,"spotify:track:4dtG1p71E6VPt9BmVYWcY5","Grand Corps Malade, Camille Lellouche","Mais je t'aime","Anouche Productions",22,43,43,"123840"
44,"spotify:track:5NhOdJFms3DKXuitc9rSoL","Gambi","PUFF PUFF PUFF","Rec. 118",8,42,23,"122189"
45,"spotify:track:1rgnBhdG2JDFTbYkYRZAku","Tones And I","Dance Monkey","Elektra (NEK)",2,55,354,"111140"
46,"spotify:track:1Sb7QJRawbARgpMqyYNMkT","Maes, Ninho","Distant","Universal Music Division Capitol Music France",2,47,226,"110742"
47,"spotify:track:0PGDjNcjDLalPSMtgvSvT7","RK, Maes","Euros","Universal Music Distribution Deal",8,46,37,"109774"
48,"spotify:track:7szuecWAPwGoV1e5vGu8tl","The Weeknd","In Your Eyes","Republic Records",22,56,135,"107751"
49,"spotify:track:3nZZkx4lkchcn5eh8DYQD8","Sifax, Sofiane","Mecs de cités","Universal Music Division Capitol Music France",18,49,51,"106613"
50,"spotify:track:4zfih9sHVVJMb0f7LRoAz8","Jul","Sousou","D'Or et de Platine",2,51,129,"105761"
51,"spotify:track:1NfhS4IBo7m6npwPNMkZbJ","Hornet La Frappe","Tourner la tête","Rec. 118",7,48,30,"105442"
52,"spotify:track:2VXeQ7moo4zfT6EFO3Cwse","Leto, PLK","Train de vie (feat. PLK)","Rec. 118",3,50,108,"105376"
53,"spotify:track:466cKvZn1j45IpxDdYZqdA","Drake","Toosie Slide","OVO",2,52,121,"105265"
54,"spotify:track:7eJMfftS33KTjuF7lTsMCx","Powfu, beabadoobee","death bed (coffee for your head)","Columbia",12,54,159,"104449"
55,"spotify:track:5DV4ZSCqbFv74ui3ZhimXo","Jason Derulo, Puri, Jhorrmountain","Coño","Spinnin' Records",54,58,23,"102215"
56,"spotify:track:76nqCfJOcFFWBJN32PAksn","Ava Max","Kings & Queens","Atlantic Records",34,59,73,"99243"
57,"spotify:track:4TnFANpjVwVKWzkxNzIyFH","Gradur, Heuss L'enfoiré","Ne reviens pas","Universal Music Division Capitol Music France",1,60,254,"98931"
58,"spotify:track:7C1trmcQQ5n5RNy4l6ziCv","Nea, Felix Jaehn","Some Say - Felix Jaehn Remix","Milkshake",47,61,59,"98213"
59,"spotify:track:0ros7xksydHb1p0qraQj0E","Maes","Prioritaire","Universal Music Division Capitol Music France",34,53,16,"97240"
60,"spotify:track:0dZpw3h6KZhcHec61qwevZ","Conkarah, Shaggy, DJ Fle","Banana (feat. Shaggy) - DJ FLe - Minisiren Remix","S-Curve Records",55,65,44,"95856"
61,"spotify:track:5hzg9p5zoHldX1O9v8qJor","Djadja & Dinaz","Féfé lambo","Carré music",57,57,4,"95752"
62,"spotify:track:0Jh6iWjna1wk5le0Ahn7No","Ninho","La vie qu'on mène","Rec. 118 / Mal Luné Music",2,62,499,"95331"
63,"spotify:track:1Lulg5ZiMEXy3QNwb1PB8I","Ninho","Zipette","Rec. 118 / Mal Luné Music",3,63,148,"94234"
64,"spotify:track:3Pa032KwuumGYM2jx5nS81","Lorenzo","Fonsdé toute la night","MFC",32,32,2,"92917"
65,"spotify:track:7HnZCmNXgva6N3kZiK0NTn","4Keus, Niska","MD (feat. Niska)","Wati-B",5,64,219,"92491"
66,"spotify:track:66W1rVTnEv86dIkFhoiElg","Regard, RAYE","Secrets","Ministry of Sound Recordings",52,69,76,"91311"
67,"spotify:track:5kQ5tKaEs3RHlaLqwjagly","Soso Maness","So Maness","RCA Group",20,67,149,"91096"
68,"spotify:track:1fcdOjdABHDVZhHquEsjCG","47ter","On avait dit","Label entrecôte",66,72,35,"88474"
69,"spotify:track:6as0Q9RFNCufcus0mzHoDs","GLK, Landy, DA Uzi, Hornet La Frappe","93% [Tijuana]","Universal Music Distribution Deal",11,66,254,"88230"
