rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams
1,"spotify:track:717QGTmZdkemDaCo1vQHG0","13 Organisé, SCH, Kofs, Jul, Naps, Soso Maness, Elams, Solda, Houari","Bande organisée","Rien 100 Rien",1,1,107,"269068"
2,"spotify:track:7xISE22N518t5HLsibFvEC","Dinos, Nekfeu","Moins un","Universal Music Distribution Deal",1,2,3,"258911"
3,"spotify:track:1J4oMIhWDUd9cI1urhEyjl","Naza, Niska","Joli bébé","Capricarolesque",2,4,80,"227608"
4,"spotify:track:3F1P0QzdXtBz0MXy7KIO5w","Dua Lipa, Angèle","Fever","Warner Records",2,3,31,"226555"
5,"spotify:track:7iZVBT6LV32t4l00p73VAw","Aya Nakamura, Stormzy","Plus Jamais (feat. Stormzy)","Rec. 118",1,6,17,"187990"
6,"spotify:track:70pkwEEG7nDTXBFqoGQkH0","Koba LaD, Maes, Zed","Coffre plein","Universal Music Division Capitol Music France",2,8,39,"186199"
7,"spotify:track:0lit1XQsSQe7LKnzL6VMaF","Zola, SCH","9 1 1 3 (feat. SCH)","AWA",1,7,10,"183058"
8,"spotify:track:2diEeH1DjfrYGRlXENLkdY","Vald","Gotaga","Echelon Records",2,5,3,"180820"
9,"spotify:track:1HDqaIxeJ70BTHgZWEuaeT","Dadju, Tiakola","Dieu merci","Universal Music Division Capitol Music France",6,9,52,"175548"
10,"spotify:track:3tjFYV6RSFtuktYl3ZtYcq","24kGoldn, iann dior","Mood (feat. iann dior)","Records/Columbia",3,11,97,"165828"
11,"spotify:track:7hxHWCCAIIxFLCzvDgnQHX","Internet Money, Gunna, Don Toliver, NAV","Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money Records/ TenThousand Projects",7,10,84,"162413"
12,"spotify:track:5EjRTvSPOnwALpoMM6LkCI","Dinos","Paranoïaque","Universal Music Distribution Deal",5,12,3,"150340"
13,"spotify:track:0jUBH6aktBM2KCNnEZfBWJ","Bosh","Slide","Arista France",11,18,38,"149395"
14,"spotify:track:0TGWAVx4bRsr8ZRYQtUPDw","Dinos","Prends soin de toi","Universal Music Distribution Deal",6,13,3,"148033"
15,"spotify:track:417aTbQ5C3b0Gu3NEbIs9T","Dinos, DA Uzi","Maman m'aime","Universal Music Distribution Deal",7,14,3,"147548"
16,"spotify:track:626x9ykFfrXQmEeadnhr1f","Dinos","93 mesures","Universal Music Distribution Deal",8,16,3,"146240"
17,"spotify:track:5AMrauYWppWRQghrh0UeLU","Dinos","Diptyque","Universal Music Distribution Deal",4,15,3,"145302"
18,"spotify:track:66tNDqYNR2S6Svwgm3BMi9","OBOY","Cabeza","Syndicate Records",3,19,150,"144555"
19,"spotify:track:0ru41rBEzVgFlIB0KLNYeu","Dinos, Tayc","Je Wanda","Universal Music Distribution Deal",9,17,3,"141074"
20,"spotify:track:0i5GJckWb9uCZU4jcGoBca","Ninho","Tout en Gucci","Rec. 118",5,22,31,"132780"
21,"spotify:track:4NcJdWFnDzubpcG31CrDU1","Dinos","Demain n'existe plus","Universal Music Distribution Deal",13,20,3,"131498"
22,"spotify:track:3ki5NTNjfk4EXbesKr77Po","Dinos, Laylow","Ciel pleure","Universal Music Distribution Deal",14,21,3,"125159"
23,"spotify:track:12GV2Wr4p1hBWQCrQcVsew","PLK, Hamza","Pilote (feat. Hamza)","Panenka Music",5,24,95,"122803"
24,"spotify:track:4aitZJoaTKUBwp5Rr7CWi0","Dinos","Césaire","Universal Music Distribution Deal",15,23,3,"120154"
25,"spotify:track:0qARyMVNjA6q1uxxO3nofB","UZI","À la fête","SportBack Records",5,25,152,"120032"
26,"spotify:track:6OYRUnXFnD7nbtLQvRidh7","Landy, Niska","Millions d'euros","109 Record",26,31,5,"114475"
27,"spotify:track:1tkg4EHVoqnhR6iFEXb60y","Pop Smoke","What You Know Bout Love","Victor Victor Worldwide",13,29,70,"112679"
28,"spotify:track:2g63GxCZUmhsr4XoKR93F6","Hatik, Jok'air","La meilleure","Universal Music Distribution Deal",12,28,245,"110342"
29,"spotify:track:4Z9CNGHElj2rLkB8mQdvnA","Leto, Ninho","Macaroni (feat. Ninho)","Rec. 118",2,30,95,"109085"
30,"spotify:track:0bYg9bo50gSsH3LtXe2SQn","Mariah Carey","All I Want for Christmas Is You","Columbia",1,55,103,"107179"
31,"spotify:track:2oMNKU3pdcDkubF2M9yrxo","Dinos, Leto","Le nord se souvient","Universal Music Distribution Deal",18,26,3,"106887"
32,"spotify:track:70APCdHsWV5BEsacwjzXmd","Dadju","Amour toxic","Universal Music Division Capitol Music France",14,33,66,"105946"
33,"spotify:track:3bXfbkXvt0nijuwcvxJXbu","Dinos, Zefor, Zikxo","Judas","Universal Music Distribution Deal",20,27,3,"104824"
34,"spotify:track:4MzXwWMhyBbmu6hOcLVD49","Bad Bunny, Jhay Cortez","DÁKITI","Rimas Entertainment LLC",34,37,26,"96306"
35,"spotify:track:2BwQ6Qizq49QKAmcNgjNJL","Naza","Faut pardonner","Capricarolesque",22,49,17,"96046"
36,"spotify:track:3V6NCwBywAwpAlAyGL7h0p","Aya Nakamura","Doudou","Rec. 118",5,35,52,"95105"
