rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams
1,"spotify:track:6YzQOngfcV0W9F8UOTnEEK","13 Organisé, SCH, Kofs, Jul, Naps, Soso Maness, Elams, Solda, Houari","Bande organisée","Rien 100 Rien",1,1,73,"520562"
2,"spotify:track:0A83jOg4aTeMw1i1BCR63w","Koba LaD, Maes, Zed","Coffre plein","Universal Music Division Capitol Music France",2,2,5,"396826"
3,"spotify:track:6ARJHbYGKNatxHVghTkWWp","Naza, Niska","Joli bébé","Capricarolesque",2,3,46,"304731"
4,"spotify:track:7nr2IHvV391WdWeKnjPGVY","Koba LaD, Vald","Pas de reine","Universal Music Division Capitol Music France",3,4,5,"225860"
5,"spotify:track:3tjFYV6RSFtuktYl3ZtYcq","24kGoldn, iann dior","Mood (feat. iann dior)","Records/Columbia",3,5,63,"224702"
6,"spotify:track:66tNDqYNR2S6Svwgm3BMi9","OBOY","Cabeza","Syndicate Records",3,7,116,"204717"
7,"spotify:track:3CTXYgzxx8AujE733L3UVX","Koba LaD, Ninho","Encore","Universal Music Division Capitol Music France",5,6,5,"203667"
8,"spotify:track:3qLNUWlU7cVg1x0NHhmXYS","Koba LaD, Freeze corleone","7 sur 7","Universal Music Division Capitol Music France",2,8,33,"192471"
9,"spotify:track:12GV2Wr4p1hBWQCrQcVsew","PLK, Hamza","Pilote (feat. Hamza)","Panenka Music",5,11,61,"190150"
10,"spotify:track:0qARyMVNjA6q1uxxO3nofB","UZI","À la fête","SportBack Records",5,9,118,"188114"
11,"spotify:track:7hxHWCCAIIxFLCzvDgnQHX","Internet Money, Gunna, Don Toliver, NAV","Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money Records/ TenThousand Projects",11,12,50,"185956"
12,"spotify:track:1fyVvRQsa095P7QK5Um7xH","Dadju, Ninho","Grand bain","Universal Music Division Capitol Music France",1,10,130,"185915"
13,"spotify:track:0LU7THzZmFI0k5Z9Upxbto","Lacrim, Maes","Boston George","Universal Music Distribution Deal",3,16,11,"157163"
14,"spotify:track:1uARdXYSScqv0xk6FdzFS2","Koba LaD, PLK","Omar","Universal Music Division Capitol Music France",7,13,4,"156453"
