rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams
1,"spotify:track:7FZoYJcmCB22N0lAg52nZG","Mister V, Jul","Pirelli","Hey Pelo",1,-1,1,"489228"
2,"spotify:track:4jB8td98pbRVvTqtQ7I3MI","Mister V, PLK","Jamais","Hey Pelo",2,12,59,"483792"
3,"spotify:track:2KAkkba3PaYFegfmYpUITv","Gambi, Heuss L'enfoiré","Dans l'espace (feat. Heuss l'Enfoiré)","Rec. 118",1,1,16,"465071"
4,"spotify:track:10luKmtlbA2PO8tH3kurlJ","Mister V, Dosseh","Gang","Hey Pelo",4,-1,1,"457337"
5,"spotify:track:4TnFANpjVwVKWzkxNzIyFH","Gradur, Heuss L'enfoiré","Ne reviens pas","Universal Music Division Capitol Music France",1,5,71,"413191"
6,"spotify:track:1Sb7QJRawbARgpMqyYNMkT","Maes, Ninho","Distant","Universal Music Division Capitol Music France",2,2,43,"401475"
7,"spotify:track:5uQh7IFaZNi5yjmevppS4V","Mister V","Clinton","Hey Pelo",7,-1,1,"400498"
8,"spotify:track:5GyyPRvEwdI4wJSUbzxHQv","Maes, Booba","Blanche","Universal Music Division Capitol Music France",1,3,16,"393065"
9,"spotify:track:4Nfak8iMF4kQfQ6Pa8Z79m","Maes, Jul","Dybala","Universal Music Division Capitol Music France",4,4,15,"375376"
10,"spotify:track:4wdJ33LQeaYBdXLKYVHxrE","Mister V","Tudo Bem","Hey Pelo",10,-1,1,"360770"
11,"spotify:track:2mkfbff7LNN4SUbZ298AvK","Mister V","Vice City","Hey Pelo",11,-1,1,"347402"
12,"spotify:track:0OkMZx36jAnr9epv0gS4ND","Mister V","Femme de ménage","Hey Pelo",12,-1,1,"335536"
13,"spotify:track:5BfCoUcWNXcpyJfjXRIeyC","Heuss L'enfoiré, Jul","Moulaga","Midi Midi Production/150 Prod",2,6,50,"318568"
14,"spotify:track:7r9g9kVnLkCgKdF8ZQNqU6","Mister V","Boogie","Hey Pelo",14,-1,1,"308068"
15,"spotify:track:0sf12qNH5qcw8qpgymFOqD","The Weeknd","Blinding Lights","Republic Records",3,8,64,"307671"
16,"spotify:track:41Du6AWKUayH5Toup76iM4","Mister V","Vert","Hey Pelo",16,-1,1,"307430"
17,"spotify:track:1pmyTzRjcz1qAowK5jYEEd","Mister V","Facetime","Hey Pelo",17,-1,1,"303766"
18,"spotify:track:7HnZCmNXgva6N3kZiK0NTn","4Keus, Niska","MD (feat. Niska)","Wati-B",5,7,36,"290856"
19,"spotify:track:1ShUAG9m58Yw2E3bMCUeIN","Mister V","Lidl","Hey Pelo",19,-1,1,"289152"
20,"spotify:track:1rgnBhdG2JDFTbYkYRZAku","Tones And I","Dance Monkey","Elektra (NEK)",2,9,171,"270345"
21,"spotify:track:2fd8ZAAbAMZTo8HsF3rntH","Mister V","Titanic","Hey Pelo",21,-1,1,"267926"
22,"spotify:track:4FsEfCGYJXzJESGAxzTfXw","Mister V","Miami Heat","Hey Pelo",22,-1,1,"267062"
23,"spotify:track:4B6qth6BKGrsY9cKEZPGjW","Mister V","Menace","Hey Pelo",23,-1,1,"265314"
24,"spotify:track:4aNCUK7i0ABpjpsSSqH2Lh","Mister V","Kungfu","Hey Pelo",24,-1,1,"245603"
